,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,brendanblumer,elienyc,binance,whcos,yamiche,rashtrapatibhvn,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
363,363,363,6.3579,6.9727,6.2001,6.8511,6722716.09,1558915199999,44234218.476634,72096,3457746.08,22742201.820561,2019-05-26,4.0,0.34425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.290757142857143,5.50689,4.630535,0.9306809764670262,0.7747315070262794,0.4490945319680746,0.3420443681078682,0.10705016386020638,26.976560115641988
364,364,364,6.8538,8.22,6.7941,7.9944,16433129.5,1559001599999,121980837.960773,189147,8362417.52,62079479.554792,2019-05-27,23.0,0.2267391304347825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545042857142856,5.615359999999999,4.682606,0.9572982487619398,0.8765717574874804,0.9104822584177636,0.45573194616984736,0.4547503122479163,27.376138550000956
365,365,365,7.9985,8.2196,7.6148,8.075,12393464.9,1559087999999,98475823.966794,159110,6361959.96,50565963.058682,2019-05-28,11.0,0.3570909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.804485714285714,5.7264,4.7345939999999995,0.6533003784552531,0.8765717574874804,1.0792714559847774,0.5804398481328334,0.4988316078519439,27.553455798400257
366,366,366,8.0753,8.2535,7.51,7.9658,8601476.01,1559174399999,68277218.767241,116615,4497531.64,35728834.349895,2019-05-29,6.0,0.3753166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.095528571428572,5.841466666666666,4.779488,0.7347130066662285,0.8343761669507321,1.0404220111981646,0.6724362807458998,0.3679857304522648,27.63906080526889
367,367,367,7.9672,8.4942,6.8678,7.3,19447140.11,1559260799999,151876160.697733,235437,10026523.86,78384876.804772,2019-05-30,10.0,0.20318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.278999999999999,5.924269999999999,4.817264,0.4519655287871203,0.622502267937324,0.7100991177107554,0.6799688481388709,0.03013026957188447,27.995421947930655
368,368,368,7.3,8.6903,7.1814,8.5645,17867584.79,1559347199999,139835275.027474,216858,9273687.97,72561382.994537,2019-05-31,11.0,0.3699272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.587299999999999,6.05103,4.8638330000000005,0.2823170420596554,0.6535028884052985,0.9832692560188292,0.7406289297148627,0.24264032630396648,28.3619711191128
369,369,369,8.5618,8.6389,7.437,7.7027,18849766.98,1559433599999,153830200.832316,229544,9452253.23,77202117.497513,2019-06-01,7.0,0.2120857142857142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.779071428571429,6.148353333333333,4.902825,0.1805279500231765,0.6535028884052985,0.7200983655510722,0.7365228168821047,-0.01642445133103254,28.698012923298684
370,370,370,7.7087,7.982,7.4588,7.7188,11897278.17,1559519999999,92088927.503014,162638,6093351.77,47173669.904964,2019-06-02,7.0,0.3444428571428571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.903028571428571,6.236176666666667,4.941602,0.5011821133883201,0.6535028884052986,0.5639544219783046,0.7020091379013448,-0.1380547159230402,28.91836349866647
371,371,371,7.7229,7.731,6.5884,6.6926,15539352.35,1559606399999,112550887.806215,203040,7637071.02,55379331.827393,2019-06-03,7.0,0.3922285714285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.717057142857143,6.294356666666667,4.9660779999999995,0.698268529360542,0.41892837453467413,0.08242175163155263,0.5780916606473864,-0.49566990901583374,29.161068678247336
372,372,372,6.6911,6.8907,6.02,6.2943,18008532.69,1559692799999,116916312.414138,206959,9174166.85,59562851.200886,2019-06-04,10.0,0.35277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626714285714275,6.3415333333333335,4.993732,0.8165203789438752,0.32974326645743746,-0.27778052229414385,0.4069172240590803,-0.6846977463532242,29.26582045233637
